,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ugoofaaru,34,MV,1612046598,70,5.6667,73.0,80.89,9.28
1,bathsheba,40,BB,1612046633,65,13.2167,-59.5167,80.6,13.8
2,punta arenas,0,CL,1612046347,58,-53.15,-70.9167,55.4,21.85
3,naryan-mar,100,RU,1612046633,93,67.6713,53.087,3.18,11.83
4,cape town,75,ZA,1612046633,77,-33.9258,18.4232,71.01,1.14
5,hobyo,6,SO,1612046552,79,5.3505,48.5268,75.06,16.22
6,hilo,1,US,1612046453,61,19.7297,-155.09,78.8,5.75
7,mataura,78,NZ,1612046496,46,-46.1927,168.8643,66.88,2.48
8,tura,0,IN,1612046409,49,25.5198,90.2201,49.71,2.75
9,flin flon,90,CA,1612046634,86,54.7682,-101.865,15.8,1.66
10,nikolskoye,75,RU,1612046456,93,59.7035,30.7861,27.0,4.47
11,martinez,90,US,1612046635,55,38.0194,-122.1341,61.0,6.91
12,chuy,52,UY,1612046633,79,-33.6971,-53.4616,74.03,13.53
13,busselton,0,AU,1612046452,81,-33.65,115.3333,64.0,1.99
14,nantucket,1,US,1612046436,53,41.2835,-70.0995,19.4,9.22
15,nuevo progreso,16,MX,1612046635,54,23.1667,-97.95,79.0,5.99
16,jamestown,40,US,1612046578,73,42.097,-79.2353,19.4,1.63
17,derzhavinsk,100,KZ,1612046636,94,51.1,66.3167,17.29,4.68
18,carnarvon,6,AU,1612046636,94,-24.8667,113.6333,80.6,5.12
19,atuona,21,PF,1612046636,74,-9.8,-139.0333,79.23,18.54
20,pacasmayo,55,PE,1612046636,64,-7.4006,-79.5714,75.47,15.1
21,luderitz,0,NA,1612046637,61,-26.6481,15.1594,66.97,20.56
22,linxia,97,CN,1612046637,81,35.6003,103.2064,21.74,0.81
23,hofn,87,IS,1612046637,85,64.2539,-15.2082,20.14,20.2
24,puerto ayora,0,EC,1612046629,70,-0.7393,-90.3518,84.2,12.66
25,mar del plata,75,AR,1612046353,59,-38.0023,-57.5575,62.6,18.41
26,chicla,100,PE,1612046638,80,-11.705,-76.2686,41.7,6.71
27,cherskiy,3,RU,1612046638,83,68.75,161.3,-37.19,1.7
28,bluff,100,NZ,1612046638,67,-46.6,168.3333,57.16,0.98
29,paracuru,11,BR,1612046638,76,-3.41,-39.0306,82.0,15.99
30,rikitea,2,PF,1612046639,74,-23.1203,-134.9692,79.16,11.18
31,vaini,75,TO,1612046639,83,-21.2,-175.2,82.4,6.91
32,nhulunbuy,84,AU,1612046639,78,-12.2333,136.7667,82.4,8.05
33,hobart,20,AU,1612046516,51,-42.8794,147.3294,68.0,11.5
34,kapaa,75,US,1612046434,65,22.0752,-159.319,78.8,16.11
35,saskylakh,100,RU,1612046640,81,71.9167,114.0833,-35.66,10.89
